نوع البطولة,الفريق الاول,الفريق الثاني,الميعاد,النتيجة
كأس الملك سلمان للأندية,السد القطري,الوداد البيضاوي,16:00,0 |-| 0
كأس الملك سلمان للأندية,الصفاقســــي,الشرطة,18:00,0 |-| 1
كأس الملك سلمان للأندية,أهلي طرابلس,الهلال,20:00,0 |-| 0
كأس الملك سلمان للأندية,الترجى الرياضي,الاتحاد,22:00,1 |-| 2
مباريات ودية -أندية,فولهام,استون فيلا,02:00,0 |-| 2
مباريات ودية -أندية,نيوكاسل,تشيلسي,03:15,1 |-| 1
مباريات ودية -أندية,ريال مدريد,مانشستر يونايتد,03:30,2 |-| 0
مباريات ودية -أندية,أرسنال,برشلونة,05:30,5 |-| 3
مباريات ودية -أندية,إنتر ميلان,النصر,13:20,1 |-| 1
مباريات ودية -أندية,اتلتيكو مدريد,نجوم دوري كوريا الجنوبية,14:00,2 |-| 3
